epoch,accuracy,loss,val_accuracy,val_loss
0,0.37961477041244507,1.7243773937225342,0.4093098044395447,1.7367098331451416
1,0.4046950340270996,1.5341659784317017,0.4983948767185211,1.576505184173584
2,0.42295345664024353,1.344294548034668,0.5313001871109009,1.3807774782180786
3,0.48234349489212036,1.231349229812622,0.5345104336738586,1.2732281684875488
4,0.552768886089325,1.1632022857666016,0.47592294216156006,1.2361054420471191
5,0.5900883078575134,1.0890181064605713,0.48876404762268066,1.1830159425735474
6,0.6185794472694397,1.027524471282959,0.49518460035324097,1.1491230726242065
7,0.6647271513938904,0.9518792033195496,0.6324237585067749,1.0308805704116821
8,0.6811797618865967,0.8825154304504395,0.6147672533988953,1.0230233669281006
9,0.7080658078193665,0.8033182621002197,0.6661316156387329,0.9271310567855835
10,0.7172953486442566,0.7486438155174255,0.6765649914741516,0.8906700611114502
11,0.7349518537521362,0.7001557946205139,0.6805778741836548,0.8425179123878479
12,0.7405698299407959,0.657192587852478,0.6934189200401306,0.8173025250434875
13,0.7479935884475708,0.6256157159805298,0.7110754251480103,0.7882131934165955
14,0.7556179761886597,0.6080752015113831,0.7182985544204712,0.7678031325340271
