epoch,accuracy,loss,val_accuracy,val_loss
0,0.4097110629081726,1.5150188207626343,0.6235954761505127,1.208884358406067
1,0.7289325594902039,0.8376967310905457,0.8234350085258484,0.5294862389564514
2,0.8655698299407959,0.38323190808296204,0.8788121938705444,0.4593803286552429
3,0.9221509099006653,0.2524227797985077,0.9060994982719421,0.39426910877227783
4,0.9504414200782776,0.17056387662887573,0.9125200510025024,0.4027094841003418
5,0.9594703316688538,0.12888644635677338,0.9141252040863037,0.41088008880615234
6,0.9676966071128845,0.11240580677986145,0.9117174744606018,0.4039127230644226
7,0.9705055952072144,0.10001616179943085,0.9117174744606018,0.41639912128448486
8,0.9701043367385864,0.09623809158802032,0.9189406037330627,0.4061639606952667
9,0.9751203656196594,0.07807067781686783,0.915730357170105,0.42965415120124817
10,0.9791332483291626,0.07110335677862167,0.9181380271911621,0.45545002818107605
11,0.9765248894691467,0.07504820823669434,0.9149277806282043,0.4717012941837311
12,0.9759229421615601,0.06778501719236374,0.915730357170105,0.4664842188358307
13,0.9779293537139893,0.06928204745054245,0.9133226275444031,0.4460717737674713
14,0.9789325594902039,0.06837206333875656,0.9181380271911621,0.4433814287185669
